T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
0.4736842105,0.5263157895,0.3947368421,0.6052631579,0.5526315789,0.5526315789,0.5789473684,0.5789473684,0.6578947368,0.4210526316,0.4473684211,0.4210526316,0.5,0.4210526316,0.4210526316,0.4473684211,0.3947368421,0.4210526316,0.4736842105,0.4736842105,0.5,0.3421052632,0.4736842105,0.3947368421,0.5,0.3947368421,0.4210526316,0.3947368421,0.4210526316,0.4736842105
0.4615384615,0.5128205128,0.4102564103,0.6153846154,0.5641025641,0.5641025641,0.5641025641,0.5897435897,0.6666666667,0.4102564103,0.4615384615,0.4102564103,0.4871794872,0.4358974359,0.4358974359,0.4615384615,0.3846153846,0.4102564103,0.4615384615,0.4615384615,0.4871794872,0.3333333333,0.4615384615,0.3846153846,0.4871794872,0.4102564103,0.4102564103,0.4102564103,0.4102564103,0.4615384615
0.475,0.5,0.425,0.625,0.575,0.575,0.575,0.575,0.65,0.425,0.475,0.425,0.475,0.45,0.45,0.475,0.4,0.4,0.45,0.45,0.5,0.35,0.45,0.4,0.5,0.425,0.425,0.4,0.425,0.45
0.4634146341,0.512195122,0.4146341463,0.6097560976,0.5853658537,0.5609756098,0.5853658537,0.5853658537,0.6585365854,0.4390243902,0.4634146341,0.4146341463,0.487804878,0.4634146341,0.4390243902,0.487804878,0.3902439024,0.3902439024,0.4390243902,0.4390243902,0.487804878,0.3414634146,0.4634146341,0.3902439024,0.512195122,0.4146341463,0.4146341463,0.3902439024,0.4390243902,0.4390243902
0.4523809524,0.5238095238,0.4047619048,0.5952380952,0.5714285714,0.5714285714,0.5714285714,0.5714285714,0.6428571429,0.4523809524,0.4761904762,0.4047619048,0.4761904762,0.4523809524,0.4285714286,0.4761904762,0.380952381,0.380952381,0.4523809524,0.4285714286,0.4761904762,0.3333333333,0.4523809524,0.380952381,0.5,0.4285714286,0.4285714286,0.4047619048,0.4523809524,0.4523809524
0.4418604651,0.5348837209,0.4186046512,0.5813953488,0.5581395349,0.5581395349,0.5581395349,0.5813953488,0.6279069767,0.4651162791,0.488372093,0.4186046512,0.488372093,0.4418604651,0.4186046512,0.4651162791,0.3720930233,0.3953488372,0.4651162791,0.4418604651,0.4651162791,0.3255813953,0.4651162791,0.3953488372,0.511627907,0.4186046512,0.4186046512,0.3953488372,0.4418604651,0.4651162791
0.4318181818,0.5227272727,0.4090909091,0.5681818182,0.5681818182,0.5681818182,0.5454545455,0.5909090909,0.6136363636,0.4772727273,0.4772727273,0.4318181818,0.4772727273,0.4318181818,0.4090909091,0.4545454545,0.3863636364,0.3863636364,0.4545454545,0.4545454545,0.4772727273,0.3181818182,0.4545454545,0.3863636364,0.5227272727,0.4318181818,0.4318181818,0.3863636364,0.4545454545,0.4772727273
0.4444444444,0.5111111111,0.4222222222,0.5777777778,0.5555555556,0.5555555556,0.5555555556,0.6,0.6,0.4666666667,0.4888888889,0.4222222222,0.4666666667,0.4444444444,0.4,0.4444444444,0.3777777778,0.3777777778,0.4666666667,0.4444444444,0.4666666667,0.3111111111,0.4444444444,0.4,0.5111111111,0.4222222222,0.4444444444,0.4,0.4444444444,0.4666666667
0.4565217391,0.5217391304,0.4130434783,0.5869565217,0.5652173913,0.5434782609,0.5652173913,0.6086956522,0.6086956522,0.4782608696,0.4782608696,0.4130434783,0.4565217391,0.4347826087,0.4130434783,0.4347826087,0.3695652174,0.3913043478,0.4782608696,0.4565217391,0.4565217391,0.3260869565,0.4347826087,0.4130434783,0.5,0.4347826087,0.4347826087,0.3913043478,0.4347826087,0.4565217391
0.4680851064,0.5319148936,0.4042553191,0.5744680851,0.5744680851,0.5531914894,0.5744680851,0.5957446809,0.6170212766,0.4680851064,0.4680851064,0.4255319149,0.4680851064,0.4255319149,0.4255319149,0.4255319149,0.3617021277,0.4042553191,0.4680851064,0.4680851064,0.4680851064,0.3191489362,0.4468085106,0.4042553191,0.4893617021,0.4255319149,0.4468085106,0.4042553191,0.4468085106,0.4468085106
